name,mean,std,skew,2nd,16th,50th,84th,97th,MAD
dnu,1.3910932296179168,0.0005482556846390996,-2.361237431839594,1.3893235279772032,1.391001595505647,1.3912309919497865,1.391426337832934,1.391631937699572,0.00019819804418268105
numax,2.60068044933122,0.00516703919602173,-2.6720121755869966,2.5831478602635936,2.6010332003179713,2.6017967000010342,2.6033055129532965,2.605514507735247,0.001019969354032444
eps,1.2119286610451625,0.020141538886673766,2.3191805795615963,1.1915493313744117,1.199567512926741,1.2068376537249443,1.2156771104506918,1.2769035141955243,0.007652791553391673
d02,0.33001665046369655,0.00995432731301301,-0.0718150969971357,0.30990154452535357,0.32006928567865145,0.330278565791499,0.33984479003406265,0.34970642246690664,0.009965268433599354
alpha,-2.29446296734443,0.03997727728178011,-0.7592258228003628,-2.3882043027791675,-2.3318095149347733,-2.290635113747779,-2.256273824803188,-2.225674351060746,0.03742564355489682
env_height,1.4282882691659886,0.06688413384356127,0.12129137403034952,1.2975476564637807,1.361296254485972,1.4263354586439443,1.494915267320291,1.5665396170252754,0.06456262736040552
env_width,1.7233143310944579,0.027959366406933975,-0.008011253414061243,1.6670998776926866,1.6962635234024561,1.7233729967229765,1.7512714212592573,1.7786014743765444,0.02742272932016229
mode_width,-0.48537203726680317,0.038771360307868895,-0.07106011262441603,-0.5647006015174286,-0.5244225032952533,-0.4847369072456176,-0.4465469958793378,-0.4086402409242099,0.03809022582802664
teff,3.6930572944190216,0.004234666023014678,0.07481267194914115,3.68468190093308,3.6888106390479396,3.6930136484073373,3.69725294479841,3.7016927537367703,0.004228927947069845
bp_rp,1.2185354130951385,0.06634081755802741,-0.05275350359295381,1.0851064536334207,1.1519088074639223,1.2194840395438513,1.2834156401735608,1.3516189680381707,0.06540840730051828
