ell,nu_med,nu_mad
2,323.54997352222597,0.06692890215802914
0,325.69125857711776,0.04672014549080957
2,347.8468390257559,0.054023666572785414
0,349.9881230709369,0.03324913636598812
2,372.26771643636346,0.05403063276018113
0,374.4091902049371,0.03390790694409579
2,396.8161330448058,0.05503758963806887
0,398.9573565209098,0.03486601887292825
2,421.49173348330066,0.054932719652018625
0,423.63336556562626,0.031553944610450864
2,446.29423284949905,0.05703962472882595
0,448.4371146106342,0.028471107732625876
2,471.22338247947886,0.06707049327358741
0,473.3663883656162,0.04201004500364554
