name,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat,log_ppr
l0[0],325.549,0.053,325.444,325.638,0.001,0.001,2321.0,2321.0,2408.0,1300.0,1.0,1.1439386147367903
l0[1],350.056,0.055,349.961,350.161,0.001,0.001,1900.0,1900.0,2072.0,1089.0,1.01,1.1278517948433353
l0[2],374.457,0.074,374.307,374.591,0.002,0.001,1473.0,1473.0,1812.0,902.0,1.0,0.998982764606603
l0[3],399.01,0.037,398.938,399.075,0.001,0.0,3090.0,3090.0,3077.0,1255.0,1.0,1.3000127602705842
l0[4],423.489,0.072,423.354,423.616,0.002,0.001,1858.0,1858.0,1878.0,1464.0,1.0,1.0108819879063107
l0[5],448.467,0.086,448.314,448.63,0.002,0.001,3210.0,3210.0,3262.0,1269.0,1.0,0.9337160330940115
l0[6],473.432,0.05,473.329,473.519,0.001,0.001,2927.0,2927.0,2914.0,1084.0,1.0,1.1692444800015604
l2[0],322.591,0.181,322.347,322.969,0.007,0.005,740.0,740.0,1004.0,729.0,1.0,0.6105359094683946
l2[1],347.916,0.822,346.972,350.078,0.153,0.109,29.0,29.0,43.0,27.0,1.05,-0.04665733320247112
l2[2],372.348,0.097,372.178,372.543,0.002,0.002,2067.0,2067.0,2213.0,950.0,1.0,0.8814427500713344
l2[3],396.727,0.114,396.504,396.925,0.002,0.002,2181.0,2181.0,2173.0,1537.0,1.0,0.8113096330011067
l2[4],421.356,0.241,420.953,421.821,0.008,0.005,976.0,976.0,1400.0,1319.0,1.0,0.4861974417627109
l2[5],446.292,0.073,446.167,446.441,0.001,0.001,2488.0,2488.0,2597.0,1362.0,1.0,1.0048916242171233
l2[6],471.504,0.139,471.227,471.748,0.003,0.002,1961.0,1961.0,2109.0,1078.0,1.0,0.7251996840834842
width0[0],0.337,0.089,0.184,0.509,0.002,0.001,2061.0,1795.0,2185.0,1301.0,1.0,
width0[1],0.25,0.087,0.103,0.412,0.004,0.002,619.0,619.0,383.0,219.0,1.0,
width0[2],0.231,0.1,0.078,0.418,0.002,0.002,1626.0,1523.0,1800.0,1687.0,1.0,
width0[3],0.214,0.051,0.124,0.308,0.001,0.001,2012.0,1940.0,2020.0,1487.0,1.0,
width0[4],0.422,0.116,0.215,0.642,0.003,0.002,1650.0,1650.0,1461.0,1175.0,1.0,
width0[5],0.512,0.139,0.274,0.764,0.003,0.002,2143.0,1940.0,2181.0,1393.0,1.0,
width0[6],0.38,0.093,0.217,0.539,0.002,0.001,1933.0,1914.0,1869.0,1331.0,1.0,
width2[0],0.476,0.355,0.078,1.142,0.013,0.009,757.0,757.0,858.0,1477.0,1.0,
width2[1],0.068,0.054,0.009,0.163,0.006,0.004,92.0,92.0,166.0,132.0,1.01,
width2[2],0.443,0.205,0.125,0.795,0.005,0.004,1607.0,1459.0,1830.0,1627.0,1.0,
width2[3],0.34,0.109,0.152,0.557,0.003,0.002,1870.0,1870.0,1801.0,1063.0,1.0,
width2[4],0.637,0.329,0.169,1.287,0.011,0.008,957.0,952.0,975.0,1092.0,1.01,
width2[5],0.274,0.114,0.092,0.474,0.003,0.002,1854.0,1611.0,2024.0,1593.0,1.0,
width2[6],0.676,0.231,0.275,1.08,0.006,0.004,1604.0,1604.0,1527.0,1267.0,1.0,
height0[0],16.298,5.044,7.974,25.936,0.101,0.077,2500.0,2146.0,2728.0,1460.0,1.0,
height0[1],19.615,7.102,8.788,32.55,0.168,0.132,1788.0,1456.0,2117.0,1482.0,1.0,
height0[2],22.778,8.787,9.411,39.293,0.186,0.144,2223.0,1865.0,2405.0,1635.0,1.0,
height0[3],34.404,11.888,15.128,56.473,0.266,0.198,1992.0,1802.0,2039.0,1388.0,1.0,
height0[4],32.254,10.112,15.332,50.318,0.239,0.169,1787.0,1787.0,1611.0,1497.0,1.0,
height0[5],18.223,6.198,8.328,30.044,0.126,0.094,2433.0,2152.0,2620.0,1631.0,1.0,
height0[6],20.3,5.872,10.193,31.251,0.135,0.097,1886.0,1823.0,1856.0,1361.0,1.0,
height2[0],6.667,2.738,2.571,11.922,0.064,0.047,1804.0,1719.0,1798.0,1612.0,1.0,
height2[1],10.494,4.329,3.227,18.198,0.103,0.086,1753.0,1274.0,2003.0,1324.0,1.0,
height2[2],16.079,6.116,6.463,27.441,0.135,0.103,2039.0,1752.0,2319.0,1581.0,1.0,
height2[3],14.393,5.448,5.351,24.284,0.119,0.089,2106.0,1890.0,2239.0,1599.0,1.0,
height2[4],12.382,4.848,5.39,21.634,0.108,0.08,2018.0,1819.0,2059.0,1813.0,1.0,
height2[5],12.502,4.589,5.323,21.12,0.094,0.071,2383.0,2070.0,2492.0,1632.0,1.0,
height2[6],6.842,2.327,3.242,10.757,0.054,0.043,1834.0,1443.0,2106.0,1534.0,1.0,
back[0],0.748,0.258,0.267,1.188,0.009,0.006,910.0,910.0,908.0,1583.0,1.0,
back[1],0.75,0.142,0.493,1.02,0.005,0.003,974.0,968.0,935.0,1287.0,1.0,
back[2],1.049,0.341,0.46,1.693,0.007,0.005,2103.0,2100.0,2077.0,1687.0,1.0,
back[3],0.385,0.134,0.168,0.64,0.003,0.003,1569.0,1380.0,1821.0,1406.0,1.0,
back[4],0.62,0.281,0.198,1.137,0.007,0.005,1825.0,1500.0,2235.0,1514.0,1.0,
back[5],0.82,0.249,0.386,1.282,0.005,0.004,2464.0,2314.0,2442.0,1558.0,1.0,
back[6],0.519,0.183,0.211,0.848,0.004,0.003,2151.0,1737.0,2338.0,1192.0,1.0,
